player_id,name,team,date,season,g,pa,ab,r,h,2b,3b,hr,rbi,bb,so,hbp,sf,sb,cs
haysa001,Austin Hays,BAL,,2023,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,3,3,0,0,0,0,0,1,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,2,2,1,1,0,0,1,1,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,5,2,3,0,0,1,3,0,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,4,3,0,1,0,0,0,1,1,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,4,4,1,2,0,0,0,1,0,2,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,4,3,2,2,0,0,0,0,1,1,0,0,1,0
mullc002,Cedric Mullins,BAL,,2023,1,4,4,0,1,0,0,0,1,0,2,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,4,4,1,2,0,0,0,1,0,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,4,3,2,1,0,0,0,1,1,0,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,5,0,0,0,0,0,0,0,3,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,5,2,3,1,0,1,2,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,5,0,0,0,0,0,0,0,3,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,5,4,1,1,1,0,0,0,0,2,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,5,4,0,0,0,0,0,1,0,1,0,1,0,0
haysa001,Austin Hays,BAL,,2023,1,4,4,0,2,0,0,0,1,0,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,4,4,0,2,1,0,0,1,0,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,4,1,2,0,0,1,1,0,2,0,0,0,1
rutsa001,Adley Rutschman,BAL,,2023,1,4,3,0,0,0,0,0,0,1,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,1,0,0,0,0,0,2,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,3,2,0,1,0,0,0,0,1,0,0,0,1,0
uriar001,Ramon Urias,BAL,,2023,1,3,3,0,1,0,0,0,0,0,2,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,5,3,1,2,0,0,0,1,1,1,1,0,1,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,4,1,2,0,0,1,3,1,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,4,3,0,0,0,0,0,0,1,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,4,3,0,1,0,0,0,1,1,1,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,4,4,1,1,1,0,0,0,0,2,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,4,2,1,1,0,0,0,0,1,0,0,0,1,0
haysa001,Austin Hays,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,1,1,0,0,1,1,0,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,4,4,0,2,0,0,0,0,0,1,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,3,3,0,1,1,0,0,0,0,1,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,3,2,0,0,0,0,0,0,1,2,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,4,1,1,1,0,0,0,0,0,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,3,3,0,1,0,0,0,0,0,2,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,1,1,2,0,0,0,0,1,0,0,0,0,2,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,1,0,0,0,2,0,3,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,3,3,1,1,1,0,0,1,0,0,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,3,0,0,0,0,0,0,1,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,4,3,0,1,0,0,0,1,1,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,6,4,2,1,0,0,0,1,2,1,0,0,2,0
rutsa001,Adley Rutschman,BAL,,2023,1,6,5,1,5,0,0,1,4,1,0,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,6,6,0,2,1,0,0,0,0,2,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,6,4,0,1,1,0,0,1,2,0,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,3,1,0,0,0,0,0,2,2,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,5,4,1,2,0,0,1,2,0,0,1,0,0,0
haysa001,Austin Hays,BAL,,2023,1,5,5,0,0,0,0,0,0,0,2,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,5,4,3,2,2,0,0,0,1,1,0,0,1,0
matej003,Jorge Mateo,BAL,,2023,1,5,3,2,2,0,0,0,1,1,0,0,0,2,0
uriar001,Ramon Urias,BAL,,2023,1,5,5,0,0,0,0,0,0,0,5,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,5,5,2,2,0,0,1,2,0,2,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,5,1,2,1,0,0,1,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,5,5,2,5,2,0,1,1,0,0,0,0,1,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,2,0,0,0,0,0,0,3,1,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,5,4,1,0,0,0,0,1,1,1,0,0,2,0
mullc002,Cedric Mullins,BAL,,2023,1,4,4,1,2,0,0,1,3,0,0,0,0,1,0
mcker001,Ryan McKenna,BAL,,2023,1,4,3,0,1,0,0,0,0,0,1,1,0,1,0
mullc002,Cedric Mullins,BAL,,2023,1,5,5,1,2,0,0,1,3,0,0,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,5,0,0,0,0,0,0,0,3,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,4,4,0,1,0,0,0,0,0,2,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,3,0,0,0,0,0,0,1,1,0,0,0,0
vavrt001,Terrin Vavra,BAL,,2023,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,4,3,1,1,0,0,0,0,1,1,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,4,4,2,3,1,0,1,2,0,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0
stowk001,Kyle Stowers,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,6,4,2,2,0,0,1,3,1,0,0,1,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,6,6,2,3,1,1,0,1,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,2,1,1,0,0,0,0,3,0,0,0,0,0
mcker001,Ryan McKenna,BAL,,2023,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,4,4,2,2,0,0,1,1,0,0,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,2,2,0,2,0,0,0,2,0,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,6,6,0,0,0,0,0,0,0,2,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,5,4,1,1,1,0,0,2,1,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,5,4,2,1,0,0,0,1,1,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,3,1,0,0,0,0,0,0,2,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,5,4,1,2,0,0,0,0,0,0,1,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,5,5,0,0,0,0,0,0,0,2,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,5,2,2,1,0,0,1,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,5,5,2,1,1,0,0,0,0,2,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,5,4,3,3,1,0,1,3,1,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,5,1,1,0,0,1,3,0,0,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,4,4,2,3,1,0,1,1,0,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,5,5,2,2,0,0,2,3,0,3,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,4,3,1,1,0,0,0,0,1,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,4,4,0,1,1,0,0,0,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,4,4,1,1,0,0,0,0,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,4,4,1,1,0,0,0,0,0,1,0,0,1,0
haysa001,Austin Hays,BAL,,2023,1,4,4,0,0,0,0,0,0,0,4,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,3,3,0,2,0,1,0,2,0,1,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,5,3,1,1,0,0,0,1,2,1,0,0,1,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,2,0,1,1,0,0,3,3,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,5,5,0,1,0,0,0,0,0,0,0,0,1,0
santa003,Anthony Santander,BAL,,2023,1,5,5,0,0,0,0,0,0,0,2,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,3,1,0,0,0,0,0,2,3,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,4,4,1,1,1,0,0,0,0,2,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,2,1,2,1,1,0,0,1,1,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0
vavrt001,Terrin Vavra,BAL,,2023,1,4,3,1,1,0,0,0,0,1,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,6,3,0,2,1,0,0,1,3,1,0,0,1,0
rutsa001,Adley Rutschman,BAL,,2023,1,6,4,0,0,0,0,0,1,2,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,6,6,0,0,0,0,0,0,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,5,1,2,0,0,1,1,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,5,4,2,2,0,1,0,0,1,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,5,4,1,1,0,0,0,0,1,2,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,4,1,0,1,0,0,0,0,2,0,1,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
vavrt001,Terrin Vavra,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,5,4,1,3,0,0,1,2,0,0,0,0,0,1
mullc002,Cedric Mullins,BAL,,2023,1,6,5,0,3,0,1,0,4,1,0,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,6,4,1,1,0,0,0,0,2,0,0,0,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,5,5,0,0,0,0,0,1,0,2,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,4,0,1,0,0,0,1,1,2,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,5,5,1,1,0,0,0,0,0,0,0,0,1,0
haysa001,Austin Hays,BAL,,2023,1,5,5,0,2,0,0,0,0,0,2,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,4,3,2,0,0,0,0,1,0,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,5,3,1,2,1,0,0,1,1,0,0,1,1,0
vavrt001,Terrin Vavra,BAL,,2023,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0
mcker001,Ryan McKenna,BAL,,2023,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,4,4,1,3,1,0,0,0,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,4,4,0,2,0,0,0,2,0,1,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,4,4,1,1,0,0,0,0,0,2,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,4,4,0,1,1,0,0,1,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,5,4,1,2,0,0,0,0,1,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,4,1,1,0,0,1,2,1,0,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,4,3,0,1,0,0,0,0,1,1,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,4,3,0,1,0,0,0,0,1,2,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
ortij005,Joey Ortiz,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
lestj002,Josh Lester,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,5,4,1,3,1,0,0,0,0,0,1,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,5,0,1,1,0,0,1,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,5,1,2,0,0,1,1,0,0,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,4,4,2,2,0,0,0,0,0,1,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,4,3,1,2,1,0,0,0,1,0,0,0,1,0
uriar001,Ramon Urias,BAL,,2023,1,4,3,0,1,0,0,0,2,0,1,0,1,0,0
fraza001,Adam Frazier,BAL,,2023,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0
lestj002,Josh Lester,BAL,,2023,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
mcker001,Ryan McKenna,BAL,,2023,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,4,4,0,1,0,0,0,1,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,4,0,0,0,0,0,0,1,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,4,4,1,3,2,0,0,0,0,0,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,4,4,0,0,0,0,0,1,0,1,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,4,4,0,1,1,0,0,1,0,0,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
haysa001,Austin Hays,BAL,,2023,1,4,3,0,0,0,0,0,0,1,2,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,4,4,0,0,0,0,0,0,0,2,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,4,3,2,1,0,0,1,1,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,5,1,1,0,0,0,0,0,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,4,1,3,1,0,0,3,0,1,1,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,5,3,1,1,0,0,0,0,2,0,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,5,4,0,1,1,0,0,2,1,1,0,0,1,0
haysa001,Austin Hays,BAL,,2023,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,4,4,1,2,0,1,0,0,0,0,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,4,1,1,0,0,0,0,1,2,0,0,1,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,4,0,2,0,0,0,0,1,1,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,5,0,3,1,0,0,2,0,1,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,5,5,0,0,0,0,0,0,0,2,0,0,1,0
mullc002,Cedric Mullins,BAL,,2023,1,5,4,0,0,0,0,0,0,1,2,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,4,2,0,0,0,0,0,0,2,0,0,0,0,0
uriar001,Ramon Urias,BAL,,2023,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0
fraza001,Adam Frazier,BAL,,2023,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0
mccaj001,James McCann,BAL,,2023,1,4,4,1,2,0,0,0,0,0,1,0,0,0,0
hendg002,Gunnar Henderson,BAL,,2023,1,5,4,0,0,0,0,0,0,1,0,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,3,0,2,2,0,0,1,2,0,0,0,0,0
santa003,Anthony Santander,BAL,,2023,1,5,4,0,0,0,0,0,1,1,2,0,0,0,0
ohear001,Ryan O'Hearn,BAL,,2023,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0
kjerh001,Heston Kjerstad,BAL,,2023,1,2,1,1,0,0,0,0,0,1,1,0,0,0,0
hicka001,Aaron Hicks,BAL,,2023,1,3,2,1,1,0,0,0,0,1,1,0,0,1,0
haysa001,Austin Hays,BAL,,2023,1,4,3,0,0,0,0,0,0,1,2,0,0,0,0
mullc002,Cedric Mullins,BAL,,2023,1,4,3,1,1,0,0,0,1,1,0,0,0,0,0
westj002,Jordan Westburg,BAL,,2023,1,4,4,1,1,1,0,0,1,0,2,0,0,0,0
matej003,Jorge Mateo,BAL,,2023,1,4,4,1,2,1,0,0,1,0,0,0,0,0,1
mullc002,Cedric Mullins,BAL,,2023,1,5,5,1,1,0,1,0,1,0,1,0,0,0,0
rutsa001,Adley Rutschman,BAL,,2023,1,5,4,0,2,0,0,0,1,0,0,0,1,0,0
mounr001,Ryan Mountcastle,BAL,,2023,1,5,4,1,0,0,0,0,0,1,0,0,0,0,0
